user_id,trait,rank,tweet,score,relevant
1d86969e-85ac-475d-829c-0026ab35e301,open,1,@user @user @user maybe it *is* all a natural experiment. With deception. And no closure. And then running away from the lab.,0.0,1
1d86969e-85ac-475d-829c-0026ab35e301,open,2,"@user ""shaming""? How so?",0.0,1
1d86969e-85ac-475d-829c-0026ab35e301,open,3,"Oh man, idk. Buss & Schmitt (2011) ""Evolutionary Psychology and Feminism."" Sex Roles: http (full text)",0.0,0
1d86969e-85ac-475d-829c-0026ab35e301,open,4,@user @user I think they realised the students are the product not the customer #soylentgreen,0.0,1
1d86969e-85ac-475d-829c-0026ab35e301,open,5,"Ah, #pebble offers usecases for itself ""Maybe you're jonesing to see your compile status or recent github commits."" http",0.0,1
1d86969e-85ac-475d-829c-0026ab35e301,conscientious,1,@user the subway is awesome - fast and reliable,10.060936560022856,1
1d86969e-85ac-475d-829c-0026ab35e301,conscientious,2,@user @user @user maybe it *is* all a natural experiment. With deception. And no closure. And then running away from the lab.,0.0,1
1d86969e-85ac-475d-829c-0026ab35e301,conscientious,3,"@user ""shaming""? How so?",0.0,1
1d86969e-85ac-475d-829c-0026ab35e301,conscientious,4,"Oh man, idk. Buss & Schmitt (2011) ""Evolutionary Psychology and Feminism."" Sex Roles: http (full text)",0.0,1
1d86969e-85ac-475d-829c-0026ab35e301,conscientious,5,@user @user I think they realised the students are the product not the customer #soylentgreen,0.0,0
1d86969e-85ac-475d-829c-0026ab35e301,extroverted,1,"Thanks for putting on such an awesome party for my last weekend, Boston! #bostonpride @user One Beacon Street http",4.895715061128687,1
1d86969e-85ac-475d-829c-0026ab35e301,extroverted,2,So as I understand it basically the situation in Queensland is that the Tea Party is running the place. #catchingup,4.753892176871664,1
1d86969e-85ac-475d-829c-0026ab35e301,extroverted,3,Also a goldmine of social shaping examples: the extensive Welcome to Twitter help pages: http #platformpedagogy @user,4.247522578975209,1
1d86969e-85ac-475d-829c-0026ab35e301,extroverted,4,@user @user @user maybe it *is* all a natural experiment. With deception. And no closure. And then running away from the lab.,0.0,1
1d86969e-85ac-475d-829c-0026ab35e301,extroverted,5,"@user ""shaming""? How so?",0.0,0
1d86969e-85ac-475d-829c-0026ab35e301,agreeable,1,@user @user @user maybe it *is* all a natural experiment. With deception. And no closure. And then running away from the lab.,0.0,0
1d86969e-85ac-475d-829c-0026ab35e301,agreeable,2,"@user ""shaming""? How so?",0.0,1
1d86969e-85ac-475d-829c-0026ab35e301,agreeable,3,"Oh man, idk. Buss & Schmitt (2011) ""Evolutionary Psychology and Feminism."" Sex Roles: http (full text)",0.0,1
1d86969e-85ac-475d-829c-0026ab35e301,agreeable,4,@user @user I think they realised the students are the product not the customer #soylentgreen,0.0,1
1d86969e-85ac-475d-829c-0026ab35e301,agreeable,5,"Ah, #pebble offers usecases for itself ""Maybe you're jonesing to see your compile status or recent github commits."" http",0.0,0
